Series Name,Series Code,Country Name,Country Code,2016 [YR2016]
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,520.251954939821
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,4124.05538986272
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,3967.20065952107
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,13300.8246114811
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,39931.2169819106
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,1709.51553404553
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,15862.6516627488
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,12790.2640639201
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,3679.95234910427
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,28451.2737445083
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,49876.7123761245
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,45307.5878620442
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,3880.68626683773
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahamas, The,BHS,29675.5358910641
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,22867.1811196134
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,1659.96248898672
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,17343.7254395315
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,5039.77603167897
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,42012.6227191027
GDP per capita (current US$),NY.GDP.PCAP.CD,Belize,BLZ,6148.70696109313
GDP per capita (current US$),NY.GDP.PCAP.CD,Benin,BEN,1049.82030349922
GDP per capita (current US$),NY.GDP.PCAP.CD,Bermuda,BMU,106885.878489327
GDP per capita (current US$),NY.GDP.PCAP.CD,Bhutan,BTN,2879.54657217991
GDP per capita (current US$),NY.GDP.PCAP.CD,Bolivia,BOL,3013.50270721666
GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herzegovina,BIH,4917.26369838618
GDP per capita (current US$),NY.GDP.PCAP.CD,Botswana,BWA,6411.55166554553
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,8680.73542054827
GDP per capita (current US$),NY.GDP.PCAP.CD,British Virgin Islands,VGB,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Brunei Darussalam,BRN,26762.0374289176
GDP per capita (current US$),NY.GDP.PCAP.CD,Bulgaria,BGR,7574.19126408348
GDP per capita (current US$),NY.GDP.PCAP.CD,Burkina Faso,BFA,665.786328528158
GDP per capita (current US$),NY.GDP.PCAP.CD,Burundi,BDI,242.539527360495
GDP per capita (current US$),NY.GDP.PCAP.CD,Cabo Verde,CPV,3312.69675666873
GDP per capita (current US$),NY.GDP.PCAP.CD,Cambodia,KHM,1281.10597109735
GDP per capita (current US$),NY.GDP.PCAP.CD,Cameroon,CMR,1426.06548098045
GDP per capita (current US$),NY.GDP.PCAP.CD,Canada,CAN,42315.6037056806
GDP per capita (current US$),NY.GDP.PCAP.CD,Cayman Islands,CYM,78858.2796562866
GDP per capita (current US$),NY.GDP.PCAP.CD,Central African Republic,CAF,372.135456053456
