Series Name,Series Code,Country Name,Country Code,2016 [YR2016]
GDP per capita (current US$),NY.GDP.PCAP.CD,Bermuda,BMU,106885.878489327
GDP per capita (current US$),NY.GDP.PCAP.CD,Cayman Islands,CYM,78858.2796562866
GDP per capita (current US$),NY.GDP.PCAP.CD,Channel Islands,CHI,58093.9960625367
GDP per capita (current US$),NY.GDP.PCAP.CD,Denmark,DNK,54663.9983719195
GDP per capita (current US$),NY.GDP.PCAP.CD,Faroe Islands,FRO,56833.9143691967
GDP per capita (current US$),NY.GDP.PCAP.CD,Iceland,ISL,61987.9263620283
GDP per capita (current US$),NY.GDP.PCAP.CD,Ireland,IRL,62895.9111239299
GDP per capita (current US$),NY.GDP.PCAP.CD,Isle of Man,IMN,82041.6210499781
GDP per capita (current US$),NY.GDP.PCAP.CD,Liechtenstein,LIE,165845.928847599
GDP per capita (current US$),NY.GDP.PCAP.CD,Luxembourg,LUX,106899.293549555
GDP per capita (current US$),NY.GDP.PCAP.CD,Monaco,MCO,174606.493834998
GDP per capita (current US$),NY.GDP.PCAP.CD,Norway,NOR,70867.3609970749
GDP per capita (current US$),NY.GDP.PCAP.CD,Qatar,QAT,58467.2355711087
GDP per capita (current US$),NY.GDP.PCAP.CD,Singapore,SGP,56895.6433372978
GDP per capita (current US$),NY.GDP.PCAP.CD,Switzerland,CHE,82153.0745447889
GDP per capita (current US$),NY.GDP.PCAP.CD,United States,USA,57866.7449341091
GDP per capita (current US$),NY.GDP.PCAP.CD,North America,NAC,56312.4348848537
